Name,WS
Add Player, Add Player
BOSTON, Celtics
Jayson Tatum,6.9
Jaylen Brown,4.9
Marcus Smart,4.5
Kemba Walker,5.9
Gordon Hayward,5.7
Daniel Theis,6.5
Brad Wanamaker,3.5
Grant Williams,1.6
Semi Ojeleye,1.9
Enes Kanter,4.4
Javonte Green,1.1
Robert Williams,2.0
Romeo Langford,0.2
Carsen Edwards,0.1
Vincent Poirier,0.3
Tremont Waters,-0.3
Tacko Fall,0.2
BROOKLYN, Nets
Joe Harris,4.3
Spencer Dinwiddie,4.8
Taurean Waller-Prince,0.6
Jarrett Allen,8.2
Garrett Temple,2.4
Caris LeVert,1.5
DeAndre Jordan,5.2
Timothe Luwawu-Cabarrot,1.7
Wilson Chandler,0.7
Rodions Kurucs,0.8
Kyrie Irving,2.9
Dzanan Musa,0.2
Theo Pinson,-0.6
Chris Chiozza,0.5
David Nwaba,0.8
Iman Shumpert,0.0
Tyler Johnson,0.6
Nicolas Claxton,0.5
Justin Anderson,-0.1
Jeremiah Martin,0.4
Lance Thomas,0.0
Donta Hall,0.3
Henry Ellenson,-0.1
Jamal Crawford,0.1
NEW YORK, Knicks
Julius Randle,2.7
RJ Barrett,-0.5
Mitchell Robinson,6.8
Bobby Portis,1.9
Marcus Morris,2.9
Elfrid Payton,1.7
Frank Ntilikina,0.9
Kevin Knox,0.2
Taj Gibson,2.6
Damyean Dotson,0.9
Reggie Bullock,0.5
Wayne Ellington,0.4
Dennis Smith,-0.9
Allonzo Trier,0.5
Maurice Harkless,0.4
Kadeem Allen,0.1
Ignas Brazdeikis,-0.1
PHILADELPHIA, Sixers
Tobias Harris,6.2
Al Horford,5.4
Ben Simmons,6.9
Josh Richardson,2.1
Furkan Korkmaz,2.8
Joel Embiid,6.0
Matisse Thybulle,2.3
Mike Scott,2.5
Shake Milton,2.1
James Ennis,1.7
Raul Neto,1.2
Alec Burks,1.2
Trey Burke,0.9
Kyle O'Quinn,1.1
Glenn Robinson,0.8
Norvel Pelle,0.3
Zhaire Smith,-0.1
Marial Shayok,-0.1
Jonah Bolden,0.0
TORONTO, Raptors
Pascal Siakam,5.4
Kyle Lowry,7.5
OG Anunoby,5.7
Fred VanVleet,5.8
Serge Ibaka,3.9
Norman Powell,4.6
Terence Davis,3.1
Marc Gasol,3.0
Rondae Hollis-Jefferson,3.4
Patrick McCaw,1.4
Chris Boucher,3.8
Matt Thomas,1.2
Malcolm Miller,0.3
Stanley Johnson,0.0
Oshae Brissett,0.1
Paul Watson,0.3
Dewan Hernandez,0.0
Shamorie Ponds,0.1
