Rk,Name,TRB,AST,STL,BLK,PTS
1,Jayson Tatum,7.0,3.0,1.4,0.9,23.4
2,Jaylen Brown,6.4,2.1,1.1,0.4,20.3
3,Gordon Hayward,6.7,4.1,0.7,0.4,17.5
4,Marcus Smart,3.8,4.9,1.7,0.5,12.9
5,Kemba Walker,3.9,4.8,0.9,0.5,20.4
6,Daniel Theis,6.6,1.7,0.6,1.3,9.2
7,Brad Wanamaker,2.0,2.5,0.9,0.2,6.9
8,Enes Kanter,7.4,1.0,0.4,0.7,8.1
9,Grant Williams,2.6,1.0,0.4,0.5,3.4
10,Semi Ojeleye,2.1,0.5,0.3,0.1,3.4
11,Robert Williams,4.4,0.9,0.8,1.2,5.2
12,Romeo Langford,1.3,0.4,0.3,0.3,2.5
13,Tremont Waters,1.1,1.5,0.9,0.2,3.6
14,Javonte Green,1.9,0.5,0.5,0.2,3.4
15,Carsen Edwards,1.3,0.6,0.3,0.1,3.3
16,Vincent Poirier,2.0,0.4,0.1,0.4,1.9
17,Tacko Fall,2.1,0.1,0.1,0.6,3.3
