Rk,Name,TRB,AST,STL,BLK,PTS
1,Kyrie Irving,5.2,6.4,1.4,0.5,27.4
2,Spencer Dinwiddie,3.5,6.8,0.6,0.3,20.6
3,Joe Harris,4.3,2.1,0.6,0.2,14.5
4,Caris LeVert,4.2,4.4,1.2,0.2,18.7
5,Taurean Waller-Prince,6.0,1.8,0.9,0.4,12.1
6,Garrett Temple,3.5,2.5,0.8,0.5,10.3
7,Jarrett Allen,9.6,1.6,0.6,1.3,11.1
8,Tyler Johnson,3.0,3.0,0.5,0.1,12.0
9,DeAndre Jordan,10.0,1.9,0.3,0.9,8.3
10,Wilson Chandler,4.1,1.1,0.5,0.3,5.9
11,Iman Shumpert,2.6,0.9,0.9,0.2,4.2
12,Timothe Luwawu-Cabarrot,2.7,0.6,0.4,0.1,7.8
13,Donta Hall,4.6,0.4,0.4,1.0,6.6
14,Chris Chiozza,2.1,3.1,0.6,0.1,6.4
15,Rodions Kurucs,2.9,1.1,0.5,0.1,4.6
16,Lance Thomas,1.9,0.9,0.0,0.0,3.4
17,David Nwaba,2.3,0.4,0.6,0.6,5.2
18,Nicolas Claxton,2.9,1.1,0.1,0.5,4.4
19,Dzanan Musa,2.2,1.1,0.4,0.0,4.8
20,Theo Pinson,1.6,1.7,0.5,0.1,3.6
21,Jeremiah Martin,1.1,2.0,0.8,0.2,7.1
22,Justin Anderson,2.1,0.8,0.0,0.6,2.8
23,Jamal Crawford,0.0,3.0,0.0,0.0,5.0
24,Henry Ellenson,1.2,0.2,0.0,0.0,0.4
