Name,TRB,AST,STL,BLK,PTS
Devonte' Graham,3.4,7.5,1.0,0.2,18.2
Terry Rozier,4.4,4.1,1.0,0.2,18.0
Miles Bridges,5.6,1.8,0.6,0.7,13.0
P.J. Washington,5.4,2.1,0.9,0.8,12.2
Cody Zeller,7.1,1.5,0.7,0.4,11.1
Nicolas Batum,4.5,3.0,0.8,0.4,3.6
Malik Monk,2.9,2.1,0.5,0.3,10.3
Marvin Williams,2.7,1.0,0.6,0.5,6.7
Bismack Biyombo,5.8,0.9,0.2,0.9,7.4
Cody Martin,3.3,2.0,0.8,0.2,5.0
Jalen McDaniels,4.1,0.8,0.5,0.2,5.6
Dwayne Bacon,2.6,1.3,0.6,0.1,5.7
Caleb Martin,2.1,1.3,0.7,0.4,6.2
Michael Kidd-Gilchrist,2.9,0.8,0.0,0.3,4.0
Willy Hernangomez,4.3,0.9,0.3,0.2,6.1
Joe Chealey,0.0,0.3,1.0,0.0,0.5
