Name,TRB,AST,STL,BLK,PTS
Zach LaVine,4.8,4.2,1.5,0.5,25.5
Lauri Markkanen,6.3,1.5,0.8,0.5,14.7
Wendell Carter,9.4,1.2,0.8,0.8,11.3
Tomas Satoransky,3.9,5.4,1.2,0.1,9.9
Coby White,3.5,2.7,0.8,0.1,13.2
Kris Dunn,3.6,3.4,2.0,0.3,7.3
Thaddeus Young,4.9,1.8,1.4,0.4,10.3
Otto Porter,3.4,1.8,1.1,0.4,11.9
Chandler Hutchison,3.9,0.9,1.0,0.3,7.8
Cristiano Felicio,4.6,0.7,0.5,0.1,3.9
Ryan Arcidiacono,1.9,1.7,0.5,0.1,4.5
Luke Kornet,2.3,0.9,0.3,0.7,6.0
Daniel Gafford,2.5,0.5,0.3,1.3,5.1
Denzel Valentine,2.1,1.2,0.7,0.2,6.8
Shaquille Harrison,2.0,1.1,0.8,0.4,4.9
Adam Mokoka,0.9,0.4,0.4,0.0,2.9
Max Strus,0.5,0.0,0.0,0.0,2.5
