Name,TRB,AST,STL,BLK,PTS
Collin Sexton,3.1,3.0,1.0,0.1,20.8
Kevin Love,9.8,3.2,0.6,0.3,17.6
Darius Garland,1.9,3.9,0.7,0.1,12.3
Tristan Thompson,10.1,2.1,0.6,0.9,12.0
Cedi Osman,3.6,2.4,0.8,0.2,11.0
Andre Drummond,11.1,1.8,1.5,1.4,17.5
Larry Nance,7.3,2.2,1.0,0.4,10.1
Kevin Porter,3.2,2.2,0.9,0.3,10.0
Jordan Clarkson,2.4,2.4,0.6,0.3,14.6
Dante Exum,2.3,1.4,0.5,0.3,5.6
Brandon Knight,1.3,1.9,0.3,0.1,4.9
Alfonzo McKinnie,2.8,0.4,0.6,0.2,4.6
Matthew Dellavedova,1.3,3.2,0.4,0.0,3.1
John Henson,3.9,1.5,0.6,1.1,5.0
Ante Zizic,3.0,0.3,0.3,0.2,4.4
Dean Wade,1.6,0.2,0.2,0.3,1.7
Matt Mooney,0.8,0.3,0.5,0.3,0.5
Malik Newman,0.0,0.0,0.0,0.0,2.0
Tyler Cook,0.9,0.1,0.1,0.0,1.7
Marques Bolden,2.0,0.0,1.0,0.0,0.0
J.P. Macura,0.0,0.0,0.0,0.0,0.0
