Name,TRB,AST,STL,BLK,PTS
Luka Doncic,9.4,8.8,1.0,0.2,28.8
Kristaps Porzingis,9.5,1.8,0.7,2.0,20.4
Dorian Finney-Smith,5.7,1.6,0.6,0.5,9.5
Tim Hardaway,3.3,1.9,0.6,0.1,15.8
Dwight Powell,5.7,1.5,0.9,0.6,9.4
Maxi Kleber,5.2,1.2,0.3,1.1,9.1
Seth Curry,2.3,1.9,0.6,0.1,12.4
Trey Burke,1.9,3.8,1.1,0.1,12.0
Delon Wright,3.8,3.3,1.2,0.3,6.9
Jalen Brunson,2.4,3.3,0.4,0.1,8.2
Justin Jackson,2.4,0.8,0.2,0.2,5.5
J.J. Barea,1.8,3.9,0.2,0.1,7.7
Courtney Lee,1.3,0.5,0.8,0.3,4.5
Willie Cauley-Stein,4.6,0.8,0.3,0.8,5.2
Ryan Broekhoff,2.5,0.6,0.3,0.2,4.2
Boban Marjanovic,4.5,0.5,0.2,0.2,6.6
Michael Kidd-Gilchrist,2.5,0.3,0.2,0.2,0.9
Josh Reaves,0.8,0.8,0.0,0.0,2.0
Antonius Cleveland,0.6,0.1,0.1,0.3,1.0
