Name,TRB,AST,STL,BLK,PTS
Will Barton,6.3,3.7,1.1,0.5,15.1
Jamal Murray,4.0,4.8,1.1,0.3,18.5
Nikola Jokic,9.7,7.0,1.2,0.6,19.9
Gary Harris,2.9,2.1,1.4,0.3,10.4
Jerami Grant,3.5,1.2,0.7,0.8,12.0
Paul Millsap,5.7,1.6,0.9,0.6,11.6
Monte Morris,1.9,3.5,0.8,0.2,9.0
Torrey Craig,3.3,0.8,0.4,0.6,5.4
Malik Beasley,1.9,1.2,0.8,0.1,7.9
Mason Plumlee,5.2,2.5,0.5,0.6,7.2
Michael Porter,4.7,0.8,0.5,0.5,9.3
PJ Dozier,1.9,2.2,0.5,0.2,5.8
Keita Bates-Diop,2.4,0.0,0.3,0.6,5.3
Troy Daniels,1.0,0.5,0.5,0.0,4.3
Juan Hernangomez,2.8,0.6,0.1,0.1,3.1
Bol Bol,2.7,0.9,0.3,0.9,5.7
Tyler Cook,2.0,0.0,1.0,0.0,2.0
Jordan McRae,1.3,1.0,0.5,0.3,2.3
Jarred Vanderbilt,0.9,0.2,0.3,0.1,1.1
Noah Vonleh,1.1,0.3,0.0,0.0,1.9
Vlatko Cancar,0.7,0.2,0.1,0.1,1.2
