Name,TRB,AST,STL,BLK,PTS
Andre Drummond,15.8,2.8,2.0,1.7,17.8
Luke Kennard,3.5,4.1,0.4,0.2,15.8
Blake Griffin,4.7,3.3,0.4,0.4,15.5
Bruce Brown,4.7,4.0,1.1,0.5,8.9
Tony Snell,1.9,2.2,0.5,0.3,8.0
Reggie Jackson,2.9,5.1,0.6,0.1,14.9
Derrick Rose,2.4,5.6,0.8,0.3,18.1
Langston Galloway,2.3,1.5,0.7,0.2,10.3
Brandon Knight,2.3,4.2,0.6,0.1,11.6
Jordan McRae,3.8,1.8,0.0,0.0,11.8
Sviatoslav Mykhailiuk,1.9,1.9,0.7,0.1,9.0
Markieff Morris,3.9,1.6,0.6,0.3,11.0
Christian Wood,6.3,1.0,0.5,0.9,13.1
Sekou Doumbouya,3.1,0.5,0.5,0.2,6.4
John Henson,4.4,1.0,0.7,0.9,6.9
Tim Frazier,1.2,3.4,0.5,0.1,3.6
Thon Maker,2.8,0.7,0.4,0.7,4.7
Donta Hall,3.8,0.5,0.3,0.3,1.5
Derrick Walton,0.3,1.7,1.0,0.0,1.0
Khyri Thomas,0.1,0.4,0.4,0.0,2.1
Louis King,1.0,0.5,0.2,0.0,2.0
Jordan Bone,0.4,0.8,0.1,0.0,1.2
