Name,TRB,AST,STL,BLK,PTS
Andrew Wiggins,4.6,3.6,1.3,1.4,19.4
D'Angelo Russell,3.7,6.2,0.9,0.3,23.6
Glenn Robinson,4.7,1.8,0.9,0.3,12.9
Mychal Mulder,3.3,1.1,0.3,0.1,11.0
Alec Burks,4.7,3.1,1.0,0.4,16.1
Damion Lee,4.9,2.7,1.0,0.1,12.7
Draymond Green,6.2,6.2,1.4,0.8,8.0
Stephen Curry,5.2,6.6,1.0,0.4,20.8
Eric Paschall,4.6,2.1,0.5,0.2,14.0
Willie Cauley-Stein,6.2,1.5,1.1,1.2,7.9
Ky Bowman,2.7,2.9,1.0,0.2,7.4
Jordan Poole,2.1,2.4,0.6,0.2,8.8
Dragan Bender,5.9,2.1,0.4,0.4,9.0
Juan Toscano-Anderson,4.0,2.0,1.0,0.4,5.3
Marquese Chriss,6.2,1.9,0.7,1.1,9.3
Omari Spellman,4.5,1.0,0.7,0.5,7.6
Jacob Evans,1.5,1.1,0.4,0.4,4.7
Jeremy Pargo,1.0,2.7,0.3,0.0,8.3
Chasson Randle,0.7,1.7,0.7,0.0,1.7
Kevon Looney,3.3,1.0,0.6,0.3,3.4
Zach Norvell,1.7,1.0,0.7,0.0,3.3
Alen Smailagic,1.9,0.9,0.2,0.3,4.2
