Name,TRB,AST,STL,BLK,PTS
James Harden,6.6,7.5,1.8,0.9,34.3
Russell Westbrook,7.9,7.0,1.6,0.4,27.2
P.J. Tucker,6.6,1.6,1.1,0.5,6.9
Robert Covington,8.0,1.5,1.6,2.2,11.6
Clint Capela,13.8,1.2,0.8,1.8,13.9
Danuel House,4.2,1.3,1.1,0.5,10.5
Eric Gordon,2.0,1.5,0.6,0.4,14.4
Austin Rivers,2.6,1.7,0.7,0.1,8.8
Ben McLemore,2.2,0.8,0.6,0.2,10.1
Jeff Green,2.9,1.7,0.8,0.5,12.2
DeMarre Carroll,2.7,1.6,0.7,0.3,6.0
Gary Clark,2.2,0.7,0.1,0.4,3.9
Isaiah Hartenstein,3.9,0.8,0.4,0.5,4.7
Michael Frazier,0.8,0.2,0.2,0.0,2.1
Thabo Sefolosha,2.3,0.6,0.6,0.3,2.2
Chris Clemons,0.9,0.8,0.3,0.2,4.9
Tyson Chandler,2.5,0.2,0.2,0.3,1.3
Luc Mbah a Moute,0.7,0.0,0.7,0.0,1.7
Ryan Anderson,3.5,1.0,0.5,0.0,2.5
William Howard,1.0,0.5,0.0,0.0,0.0
Bruno Caboclo,2.0,0.3,0.6,0.6,3.5
