Name,TRB,AST,STL,BLK,PTS
Domantas Sabonis,12.4,5.0,0.8,0.5,18.5
T.J. Warren,4.2,1.5,1.2,0.5,19.8
Malcolm Brogdon,4.9,7.1,0.6,0.2,16.5
Myles Turner,6.6,1.2,0.7,2.1,12.1
Jeremy Lamb,4.3,2.1,1.2,0.5,12.5
Victor Oladipo,3.9,2.9,0.9,0.2,14.5
Justin Holiday,3.3,1.3,1.2,0.6,8.3
Aaron Holiday,2.4,3.4,0.8,0.2,9.5
Doug McDermott,2.5,1.1,0.2,0.1,10.3
T.J. McConnell,2.7,5.0,0.8,0.2,6.5
Edmond Sumner,1.5,1.8,0.5,0.3,4.9
JaKarr Sampson,2.6,0.6,0.5,0.4,4.6
Naz Mitrou-Long,1.4,1.6,0.2,0.2,2.8
Goga Bitadze,2.0,0.4,0.2,0.7,3.2
T.J. Leaf,2.5,0.3,0.4,0.1,3.0
Alize Johnson,2.8,0.4,0.2,0.1,2.0
Brian Bowen,1.2,0.0,0.0,0.2,1.0
