Name,TRB,AST,STL,BLK,PTS
Kawhi Leonard,7.1,4.9,1.8,0.6,27.1
Paul George,5.7,3.9,1.4,0.4,21.5
Marcus Morris,4.1,1.4,0.7,0.7,10.1
Lou Williams,3.1,5.6,0.7,0.2,18.2
Montrezl Harrell,7.1,1.7,0.6,1.1,18.6
Landry Shamet,1.9,1.9,0.4,0.2,9.3
Patrick Beverley,5.2,3.6,1.1,0.5,7.9
Maurice Harkless,4.0,1.0,1.0,0.6,5.5
Reggie Jackson,3.0,3.2,0.3,0.2,9.5
JaMychal Green,6.2,0.8,0.5,0.4,6.8
Ivica Zubac,7.5,1.1,0.2,0.9,8.3
Rodney McGruder,2.7,0.6,0.5,0.1,3.3
Patrick Patterson,2.6,0.7,0.1,0.1,4.9
Jerome Robinson,1.4,1.1,0.3,0.2,2.9
Joakim Noah,3.2,1.4,0.2,0.2,2.8
Derrick Walton,0.7,1.0,0.2,0.0,2.2
Terance Mann,1.3,1.3,0.3,0.1,2.4
Amir Coffey,0.9,0.8,0.3,0.1,3.2
Mfiondu Kabengele,0.9,0.2,0.2,0.2,3.5
Johnathan Motley,0.8,0.6,0.2,0.0,2.2
