Name,TRB,AST,STL,BLK,PTS
LeBron James,7.8,10.2,1.2,0.5,25.3
Anthony Davis,9.3,3.2,1.5,2.3,26.1
Kentavious Caldwell-Pope,2.1,1.6,0.8,0.2,9.3
Kyle Kuzma,4.5,1.3,0.5,0.4,12.8
Danny Green,3.3,1.3,1.3,0.5,8.0
Avery Bradley,2.3,1.3,0.9,0.1,8.6
Dion Waiters,1.9,2.4,0.6,0.6,11.9
Rajon Rondo,3.0,5.0,0.8,0.0,7.1
Dwight Howard,7.3,0.7,0.4,1.1,7.5
Alex Caruso,1.9,1.9,1.1,0.3,5.5
JaVale McGee,5.7,0.5,0.5,1.4,6.6
Markieff Morris,3.2,0.6,0.4,0.4,5.3
Talen Horton-Tucker,1.2,1.0,1.3,0.2,5.7
J.R. Smith,0.8,0.5,0.2,0.0,2.8
Quinn Cook,1.2,1.1,0.3,0.0,5.1
Troy Daniels,1.1,0.3,0.2,0.1,4.2
Devontae Cacok,5.0,1.0,0.0,0.0,6.0
Jared Dudley,1.2,0.6,0.3,0.1,1.5
Kostas Antetokounmpo,0.6,0.4,0.0,0.0,1.4
Zach Norvell,0.5,0.0,0.0,0.0,0.0
