Name,TRB,AST,STL,BLK,PTS
Ja Morant,3.9,7.3,0.9,0.3,17.8
Jae Crowder,6.2,2.8,1.0,0.3,9.9
Dillon Brooks,3.3,2.1,0.9,0.4,16.2
Jaren Jackson,4.6,1.4,0.7,1.6,17.4
Jonas Valanciunas,11.3,1.9,0.4,1.1,14.9
Brandon Clarke,5.9,1.4,0.6,0.8,12.1
Kyle Anderson,4.3,2.4,0.8,0.6,5.8
De'Anthony Melton,3.7,2.9,1.3,0.3,7.6
Tyus Jones,1.6,4.4,0.9,0.1,7.4
Grayson Allen,2.2,1.4,0.3,0.1,8.7
Solomon Hill,3.0,2.0,0.6,0.1,5.7
Gorgui Dieng,5.8,0.9,0.8,1.0,7.2
Anthony Tolliver,2.5,0.8,0.5,0.1,4.8
Josh Jackson,3.0,1.6,0.8,0.4,9.0
Marko Guduric,1.7,1.0,0.3,0.2,3.9
Jordan Bell,1.5,1.0,0.5,0.0,5.0
John Konchar,2.5,1.2,0.4,0.2,2.8
Bruno Caboclo,2.0,0.5,0.5,0.5,2.8
Dusty Hannahs,0.5,0.0,0.0,0.0,6.0
Yuta Watanabe,1.1,0.3,0.3,0.1,2.0
Jarrod Uthoff,0.3,0.0,0.3,0.0,1.0
