Name,TRB,AST,STL,BLK,PTS
Jimmy Butler,6.7,6.0,1.8,0.6,19.9
Bam Adebayo,10.2,5.1,1.1,1.3,15.9
Justise Winslow,6.6,4.0,0.6,0.5,11.3
Duncan Robinson,3.2,1.4,0.5,0.3,13.5
Kendrick Nunn,2.7,3.3,0.8,0.2,15.3
Goran Dragic,3.2,5.1,0.7,0.2,16.2
Jae Crowder,5.4,1.8,1.3,0.5,11.9
Tyler Herro,4.1,2.2,0.6,0.2,13.5
Derrick Jones,3.9,1.1,1.0,0.6,8.5
Meyers Leonard,5.1,1.1,0.3,0.3,6.1
Andre Iguodala,3.7,2.4,0.7,1.0,4.6
Kelly Olynyk,4.6,1.7,0.7,0.3,8.2
Solomon Hill,1.9,0.9,1.1,0.5,4.5
James Johnson,2.9,1.2,0.3,0.7,5.7
Dion Waiters,3.7,1.0,0.0,0.7,9.3
Udonis Haslem,4.0,0.3,0.0,0.0,3.0
Gabe Vincent,0.6,0.7,0.6,0.0,2.4
Chris Silva,2.9,0.5,0.2,0.5,3.0
Kyle Alexander,1.5,0.0,0.0,0.0,1.0
KZ Okpala,1.0,0.2,0.4,0.2,1.4
Daryl Macon,0.0,0.3,0.0,0.0,0.8
