Name,TRB,AST,STL,BLK,PTS
Giannis Antetokounmpo,13.6,5.6,1.0,1.0,29.5
Khris Middleton,6.2,4.3,0.9,0.1,20.9
Eric Bledsoe,4.6,5.4,0.9,0.4,14.9
Brook Lopez,4.6,1.5,0.7,2.4,12.0
Wesley Matthews,2.5,1.4,0.6,0.1,7.4
Donte DiVincenzo,4.8,2.3,1.3,0.3,9.2
George Hill,3.0,3.1,0.8,0.1,9.4
Marvin Williams,4.4,1.1,0.6,0.5,4.0
Pat Connaughton,4.2,1.6,0.4,0.5,5.4
Kyle Korver,2.1,1.2,0.4,0.2,6.7
Ersan Ilyasova,4.8,0.8,0.4,0.3,6.6
Sterling Brown,3.5,1.0,0.6,0.1,5.1
Robin Lopez,2.4,0.7,0.2,0.7,5.4
Frank Mason,2.1,3.2,0.6,0.1,6.9
Dragan Bender,2.9,1.3,0.0,0.7,3.7
D.J. Wilson,2.5,0.7,0.1,0.1,3.6
Thanasis Antetokounmpo,1.2,0.8,0.4,0.1,2.8
