Name,TRB,AST,STL,BLK,PTS
Andrew Wiggins,5.2,3.7,0.7,0.9,22.4
Karl-Anthony Towns,10.8,4.4,0.9,1.2,26.5
Malik Beasley,5.1,1.9,0.6,0.1,20.7
D'Angelo Russell,4.6,6.6,1.4,0.3,21.7
Robert Covington,6.0,1.2,1.7,0.9,12.8
Juan Hernangomez,7.3,1.3,1.0,0.3,12.9
Jeff Teague,2.6,6.1,0.7,0.4,13.2
Josh Okogie,4.3,1.6,1.1,0.4,8.6
James Johnson,4.7,3.8,1.4,1.4,12.0
Jarrett Culver,3.4,1.7,0.9,0.6,9.2
Shabazz Napier,3.1,5.2,1.1,0.2,9.6
Jake Layman,2.5,0.7,0.7,0.4,9.1
Treveon Graham,3.0,0.9,0.5,0.1,5.2
Jordan McLaughlin,1.6,4.2,1.1,0.1,7.6
Keita Bates-Diop,3.0,0.8,0.5,0.5,6.8
Gorgui Dieng,5.6,1.3,0.8,0.9,7.4
Naz Reid,4.1,1.2,0.6,0.7,9.0
Kelan Martin,3.1,0.7,0.2,0.3,6.4
Allen Crabbe,1.3,0.6,0.0,0.0,3.2
Noah Vonleh,4.0,0.9,0.4,0.2,4.1
Jaylen Nowell,0.9,1.3,0.2,0.1,3.8
Jordan Bell,2.9,0.5,0.1,0.4,3.1
Jarred Vanderbilt,0.5,0.0,0.0,0.0,1.0
Jacob Evans,0.0,0.0,0.0,0.0,0.0
