Name,TRB,AST,STL,BLK,PTS
Jrue Holiday,4.8,6.7,1.6,0.8,19.1
Brandon Ingram,6.1,4.2,1.0,0.6,23.8
Lonzo Ball,6.1,7.0,1.4,0.6,11.8
Zion Williamson,6.3,2.1,0.7,0.4,22.5
Josh Hart,6.5,1.7,1.0,0.4,10.1
J.J. Redick,2.5,2.0,0.3,0.2,15.3
Derrick Favors,9.8,1.6,0.6,0.9,9.0
Kenrich Williams,4.8,1.5,0.7,0.5,3.5
E'Twaun Moore,2.3,1.4,0.6,0.2,8.3
Sindarius Thornwell,2.0,2.0,0.5,0.5,8.0
Nicolo Melli,3.0,1.4,0.6,0.4,6.6
Jaxson Hayes,4.0,0.9,0.4,0.9,7.4
Jahlil Okafor,4.2,1.2,0.2,0.7,8.1
Frank Jackson,1.4,1.0,0.3,0.1,6.3
Zylan Cheatham,2.3,0.8,0.3,0.3,3.0
Nickeil Alexander-Walker,1.8,1.9,0.4,0.2,5.7
Josh Gray,1.0,1.0,0.0,0.0,1.0
