Rk,Name,TRB,AST,STL,BLK,PTS
1,Julius Randle,9.7,3.1,0.8,0.3,19.5
2,Marcus Morris,5.4,1.4,0.8,0.4,19.6
3,RJ Barrett,5.0,2.6,1.0,0.3,14.3
4,Elfrid Payton,4.7,7.2,1.6,0.4,10.0
5,Maurice Harkless,3.3,1.7,0.8,0.3,6.8
6,Reggie Bullock,2.3,1.4,0.9,0.1,8.1
7,Mitchell Robinson,7.0,0.6,0.9,2.0,9.7
8,Bobby Portis,5.1,1.5,0.5,0.3,10.1
9,Frank Ntilikina,2.1,3.0,0.9,0.3,6.3
10,Kevin Knox,2.8,0.9,0.4,0.4,6.4
11,Damyean Dotson,1.9,1.2,0.5,0.1,6.7
12,Taj Gibson,4.3,0.8,0.4,0.5,6.1
13,Dennis Smith,2.3,2.9,0.8,0.2,5.5
14,Wayne Ellington,1.8,1.2,0.4,0.1,5.1
15,Allonzo Trier,1.2,1.2,0.1,0.2,6.5
16,Kadeem Allen,0.9,2.1,0.5,0.2,5.0
17,Ignas Brazdeikis,0.6,0.4,0.0,0.1,1.9
