Name,WS
Nikola Jokic,9.8
Will Barton,4.2
Jamal Murray,4.3
Jerami Grant,4.4
Gary Harris,1.9
Monte Morris,3.8
Paul Millsap,3.5
Torrey Craig,2.0
Mason Plumlee,3.4
Michael Porter,2.9
Malik Beasley,0.5
Juan Hernangomez,0.1
PJ Dozier,0.4
Keita Bates-Diop,0.2
Bol Bol,0.1
Troy Daniels,0.0
Vlatko Cancar,0.1
Jarred Vanderbilt,0.0
Jordan McRae,0.1
Noah Vonleh,0.1
Tyler Cook,0.0
Josh Okogie,2.2
Jarrett Culver,-0.1
Andrew Wiggins,1.4
Robert Covington,2.3
Karl-Anthony Towns,5.1
Jeff Teague,2.1
Shabazz Napier,1.3
Gorgui Dieng,2.1
Treveon Graham,0.1
Keita Bates-Diop,1.0
Jordan McLaughlin,1.6
Jake Layman,0.3
Kelan Martin,0.2
Naz Reid,0.8
Malik Beasley,0.8
Juan Hernangomez,0.8
D'Angelo Russell,0.5
Noah Vonleh,0.9
James Johnson,0.8
Jordan Bell,0.4
Jaylen Nowell,0.2
Allen Crabbe,-0.2
Jarred Vanderbilt,0.0
Jacob Evans,0.0
Shai Gilgeous-Alexander,6.1
Chris Paul,8.9
Dennis Schroder,3.6
Danilo Gallinari,6.3
Steven Adams,6.5
Terrance Ferguson,0.6
Darius Bazley,1.0
Nerlens Noel,4.9
Hamidou Diallo,0.4
Abdel Nader,1.3
Luguentz Dort,0.8
Mike Muscala,1.3
Deonte Burton,-0.5
Andre Roberson,0.0
Devon Hall,-0.2
Kevin Hervey,-0.1
Justin Patton,0.0
Isaiah Roby,0.0
CJ McCollum,4.1
Damian Lillard,11.6
Hassan Whiteside,8.5
Carmelo Anthony,1.3
Anfernee Simons,0.2
Gary Trent,2.5
Kent Bazemore,-0.2
Mario Hezonja,0.8
Trevor Ariza,1.4
Rodney Hood,1.1
Nassir Little,0.6
Skal Labissiere,1.4
Anthony Tolliver,0.4
Zach Collins,0.3
Caleb Swanigan,0.1
Jusuf Nurkic,0.9
Wenyen Gabriel,0.3
Jaylen Hoard,0.2
Moses Brown,0.0
Donovan Mitchell,5.4
Rudy Gobert,10.7
Joe Ingles,4.8
Bojan Bogdanovic,4.2
Royce O'Neale,4.3
Mike Conley,2.5
Jordan Clarkson,1.9
Georges Niang,1.8
Emmanuel Mudiay,1.0
Tony Bradley,3.3
Jeff Green,0.5
Ed Davis,0.6
Rayjon Tucker,0.2
Juwan Morgan,0.3
Miye Oni,0.1
Jarrell Brantley,0.0
Dante Exum,-0.1
Nigel Williams-Goss,0.0
Justin Wright-Foreman,0.0
Stanton Kidd,-0.1
