Name,TRB,AST,STL,BLK,PTS
Shai Gilgeous-Alexander,5.9,3.3,1.1,0.7,19.0
Chris Paul,5.0,6.7,1.6,0.2,17.6
Dennis Schroder,3.6,4.0,0.7,0.2,18.9
Danilo Gallinari,5.2,1.9,0.7,0.1,18.7
Steven Adams,9.3,2.3,0.8,1.1,10.9
Luguentz Dort,2.3,0.8,0.9,0.1,6.8
Terrance Ferguson,1.3,0.9,0.5,0.3,3.9
Hamidou Diallo,3.6,0.8,0.8,0.2,6.9
Darius Bazley,4.0,0.7,0.4,0.7,5.6
Nerlens Noel,4.9,0.9,1.0,1.5,7.4
Abdel Nader,1.8,0.7,0.4,0.4,6.3
Andre Roberson,3.9,0.6,0.1,0.4,2.9
Mike Muscala,2.3,0.9,0.2,0.3,4.8
Deonte Burton,1.5,0.4,0.2,0.3,2.7
Devon Hall,0.6,1.2,0.4,0.1,1.8
Kevin Hervey,1.2,0.5,0.1,0.1,1.7
Justin Patton,1.0,0.4,0.0,0.0,1.8
Isaiah Roby,0.7,0.0,0.0,0.0,0.0
