Name,TRB,AST,STL,BLK,PTS
Aaron Gordon,7.7,3.7,0.8,0.6,14.4
Nikola Vucevic,10.9,3.6,0.9,0.8,19.6
Evan Fournier,2.6,3.2,1.1,0.2,18.5
Jonathan Isaac,6.8,1.4,1.6,2.3,11.9
Markelle Fultz,3.3,5.1,1.3,0.2,12.1
Terrence Ross,3.2,1.2,1.1,0.3,14.7
D.J. Augustin,2.1,4.6,0.6,0.0,10.5
James Ennis,4.8,1.1,0.6,0.4,8.5
Al-Farouq Aminu,4.8,1.2,1.0,0.4,4.3
Khem Birch,4.6,1.0,0.4,0.5,4.4
Michael Carter-Williams,3.3,2.4,1.1,0.5,7.2
Wesley Iwundu,2.5,1.2,0.5,0.3,5.8
Gary Clark,2.9,0.2,0.2,0.6,3.6
Mohamed Bamba,4.9,0.7,0.4,1.4,5.4
B.J. Johnson,1.5,0.3,0.3,0.0,3.0
Vic Law,1.4,0.4,0.3,0.0,1.9
Melvin Frazier,0.5,0.2,0.5,0.1,2.1
Josh Magette,0.8,0.6,0.4,0.1,1.5
Amile Jefferson,1.3,0.2,0.1,0.2,0.8
