Name,WS
Eric Paschall,2.1
Glenn Robinson,2.1
Damion Lee,1.7
Alec Burks,2.5
Jordan Poole,-1.2
Draymond Green,1.1
Marquese Chriss,3.4
D'Angelo Russell,1.3
Ky Bowman,-0.1
Willie Cauley-Stein,2.2
Omari Spellman,1.2
Jacob Evans,-0.5
Andrew Wiggins,0.5
Juan Toscano-Anderson,0.2
Kevon Looney,0.0
Mychal Mulder,0.1
Dragan Bender,0.1
Alen Smailagic,0.2
Stephen Curry,0.3
Jeremy Pargo,0.0
Chasson Randle,0.0
Zach Norvell,-0.1
Lou Williams,4.1
Kawhi Leonard,8.7
Montrezl Harrell,7.0
Landry Shamet,2.6
Paul George,4.8
Patrick Beverley,3.6
Ivica Zubac,6.6
JaMychal Green,3.1
Maurice Harkless,2.3
Rodney McGruder,1.0
Patrick Patterson,1.9
Marcus Morris,0.6
Jerome Robinson,0.0
Terance Mann,0.8
Reggie Jackson,0.8
Derrick Walton,0.5
Amir Coffey,0.1
Mfiondu Kabengele,0.2
Joakim Noah,0.1
Johnathan Motley,0.3
LeBron James,9.8
Anthony Davis,11.1
Kentavious Caldwell-Pope,3.7
Danny Green,3.4
Kyle Kuzma,2.0
Dwight Howard,5.4
Avery Bradley,1.5
Alex Caruso,2.3
JaVale McGee,4.7
Rajon Rondo,1.4
Quinn Cook,0.3
Troy Daniels,0.7
Jared Dudley,0.8
Markieff Morris,0.4
Dion Waiters,0.1
Talen Horton-Tucker,0.1
J.R. Smith,-0.1
Kostas Antetokounmpo,0.1
Devontae Cacok,0.0
Zach Norvell,0.0
Devin Booker,7.5
Mikal Bridges,4.8
Ricky Rubio,4.9
Kelly Oubre,3.8
Dario Saric,3.6
Cameron Johnson,2.7
Deandre Ayton,3.1
Jevon Carter,1.8
Aron Baynes,2.1
Frank Kaminsky,1.4
Elie Okobo,1.0
Tyler Johnson,0.2
Cheick Diallo,1.3
Ty Jerome,0.0
Cameron Payne,0.5
Jonah Bolden,0.0
Jalen Lecque,0.0
Tariq Owens,0.0
Jared Harper,0.0
Harrison Barnes,4.6
Buddy Hield,3.0
Nemanja Bjelica,5.3
Bogdan Bogdanovic,3.1
Cory Joseph,2.3
De'Aaron Fox,4.0
Richaun Holmes,4.9
Trevor Ariza,1.1
Harry Giles,1.6
Kent Bazemore,0.8
Dewayne Dedmon,-0.1
Yogi Ferrell,0.7
Marvin Bagley,0.4
Justin James,0.1
Alex Len,0.7
DaQuan Jeffries,0.3
Anthony Tolliver,-0.2
Jabari Parker,0.4
Wenyen Gabriel,0.0
Corey Brewer,0.0
Caleb Swanigan,-0.1
Eric Mika,0.1
Kyle Guy,0.0
