Rk,Name,TRB,AST,STL,BLK,PTS
1,Ben Simmons,7.8,8.0,2.1,0.6,16.4
2,Tobias Harris,6.9,3.2,0.7,0.6,19.6
3,Josh Richardson,3.2,2.9,0.9,0.7,13.7
4,Al Horford,6.8,4.0,0.8,0.9,11.9
5,Joel Embiid,11.6,3.0,0.9,1.3,23.0
6,Furkan Korkmaz,2.3,1.1,0.6,0.2,9.8
7,Alec Burks,3.1,2.1,0.7,0.0,12.2
8,Shake Milton,2.2,2.6,0.5,0.2,9.4
9,Matisse Thybulle,1.6,1.2,1.4,0.7,4.7
10,Glenn Robinson,3.1,0.8,0.6,0.1,7.7
11,Mike Scott,3.6,0.8,0.3,0.1,6.0
12,James Ennis,3.1,0.8,0.5,0.3,5.8
13,Trey Burke,1.4,2.1,0.3,0.0,5.9
14,Raul Neto,1.1,1.8,0.4,0.1,5.1
15,Kyle O'Quinn,4.0,1.8,0.2,0.8,3.5
16,Norvel Pelle,3.0,0.3,0.1,1.3,2.4
17,Marial Shayok,1.8,0.3,0.0,0.3,2.8
18,Zhaire Smith,0.3,0.3,0.4,0.0,1.1
19,Jonah Bolden,0.3,0.0,0.3,0.0,1.0
