Name,TRB,AST,STL,BLK,PTS
Devin Booker,4.2,6.5,0.7,0.3,26.6
Kelly Oubre,6.4,1.5,1.3,0.7,18.7
Deandre Ayton,11.5,1.9,0.7,1.5,18.2
Ricky Rubio,4.7,8.8,1.4,0.2,13.0
Mikal Bridges,4.0,1.8,1.4,0.6,9.1
Dario Saric,6.2,1.9,0.6,0.2,10.7
Cameron Payne,3.9,3.0,1.0,0.3,10.9
Aron Baynes,5.6,1.6,0.2,0.5,11.5
Cameron Johnson,3.3,1.2,0.6,0.4,8.8
Frank Kaminsky,4.5,1.9,0.4,0.3,9.7
Tyler Johnson,1.7,1.6,0.4,0.3,5.7
Jevon Carter,2.0,1.4,0.8,0.3,4.9
Elie Okobo,1.6,2.1,0.4,0.1,4.0
Jonah Bolden,2.7,0.0,0.7,0.7,2.0
Ty Jerome,1.5,1.4,0.5,0.1,3.3
Cheick Diallo,2.8,0.5,0.2,0.3,4.7
Jalen Lecque,0.4,0.4,0.0,0.0,2.0
Tariq Owens,1.0,0.0,0.3,0.0,1.3
Jared Harper,0.0,0.0,0.0,0.0,0.7
