Name,TRB,AST,STL,BLK,PTS
Damian Lillard,4.3,8.0,1.1,0.3,30.0
CJ McCollum,4.2,4.4,0.8,0.6,22.2
Trevor Ariza,4.8,2.0,1.6,0.4,11.0
Carmelo Anthony,6.3,1.5,0.8,0.5,15.4
Jusuf Nurkic,10.3,4.0,1.4,2.0,17.6
Hassan Whiteside,13.5,1.2,0.4,2.9,15.5
Rodney Hood,3.4,1.5,0.8,0.2,11.0
Zach Collins,6.3,1.5,0.5,0.5,7.0
Kent Bazemore,4.0,1.4,1.0,0.7,7.9
Gary Trent,1.6,1.0,0.8,0.3,8.9
Anfernee Simons,2.2,1.4,0.4,0.1,8.3
Skal Labissiere,5.1,1.3,0.2,0.9,5.8
Anthony Tolliver,3.3,0.9,0.2,0.3,3.9
Mario Hezonja,3.5,0.9,0.7,0.2,4.8
Caleb Swanigan,4.7,1.5,0.1,0.3,3.0
Nassir Little,2.3,0.5,0.3,0.3,3.6
Wenyen Gabriel,2.2,0.3,0.4,0.3,2.3
Jaylen Hoard,2.5,0.3,0.4,0.0,2.9
Moses Brown,1.6,0.1,0.1,0.1,1.2
