Name,TRB,AST,STL,BLK,PTS
Harrison Barnes,4.9,2.2,0.6,0.2,14.5
De'Aaron Fox,3.8,6.8,1.5,0.5,21.1
Buddy Hield,4.6,3.0,0.9,0.2,19.2
Bogdan Bogdanovic,3.4,3.4,1.0,0.2,15.1
Richaun Holmes,8.1,1.0,0.9,1.3,12.3
Nemanja Bjelica,6.4,2.8,0.9,0.6,11.5
Marvin Bagley,7.5,0.8,0.5,0.9,14.2
Trevor Ariza,4.6,1.6,1.1,0.2,6.0
Cory Joseph,2.6,3.5,0.7,0.3,6.4
Kent Bazemore,4.9,1.3,1.2,0.4,10.3
Eric Mika,7.0,0.0,0.0,0.0,6.0
Dewayne Dedmon,4.9,0.4,0.4,0.8,5.1
Alex Len,6.1,0.5,0.2,1.0,5.9
Harry Giles,4.1,1.3,0.5,0.4,6.9
Jabari Parker,3.8,1.7,0.5,0.2,8.5
DaQuan Jeffries,1.4,0.5,0.3,0.1,3.8
Yogi Ferrell,1.0,1.4,0.4,0.1,4.4
Anthony Tolliver,1.2,0.3,0.4,0.1,1.0
Corey Brewer,1.6,0.4,0.8,0.0,1.0
Justin James,0.9,0.5,0.2,0.3,2.5
Wenyen Gabriel,0.9,0.3,0.3,0.2,1.7
Kyle Guy,0.3,0.3,0.0,0.0,1.3
Caleb Swanigan,1.0,0.3,0.1,0.3,0.7
