Name,TRB,AST,STL,BLK,PTS
DeMar DeRozan,5.5,5.6,1.0,0.3,22.1
LaMarcus Aldridge,7.4,2.4,0.7,1.6,18.9
Dejounte Murray,5.8,4.1,1.7,0.3,10.9
Bryn Forbes,2.0,1.7,0.5,0.0,11.2
Derrick White,3.3,3.5,0.6,0.9,11.3
Patty Mills,1.6,1.8,0.8,0.1,11.6
Rudy Gay,5.4,1.7,0.5,0.5,10.8
Trey Lyles,5.7,1.1,0.4,0.4,6.4
Keldon Johnson,3.4,0.9,0.8,0.1,9.1
Jakob Poeltl,5.7,1.8,0.6,1.4,5.6
Lonnie Walker,2.3,1.1,0.5,0.2,6.4
Luka Samanic,3.3,2.0,0.0,0.7,5.3
Marco Belinelli,1.7,1.2,0.2,0.0,6.3
Drew Eubanks,3.9,0.7,0.2,0.8,4.9
DeMarre Carroll,2.1,0.7,0.1,0.1,2.2
Quinndary Weatherspoon,0.6,1.0,0.3,0.1,1.1
Chimezie Metu,1.8,0.6,0.2,0.3,3.2
Tyler Zeller,2.0,0.0,0.0,0.0,1.0
