Name,WS
Trae Young,5.9
De'Andre Hunter,0.1
Kevin Huerter,1.6
Cam Reddish,-0.4
John Collins,4.9
DeAndre' Bembry,0.2
Damian Jones,2.8
Vince Carter,-0.2
Jabari Parker,1.2
Alex Len,1.8
Bruno Fernando,0.8
Allen Crabbe,0.1
Jeff Teague,0.4
Brandon Goodwin,0.1
Treveon Graham,0.1
Evan Turner,-0.3
Dewayne Dedmon,0.2
Tyrone Wallace,-0.2
Chandler Parsons,-0.1
Charlie Brown,0.0
Paul Watson,-0.1
Devonte' Graham,3.4
Terry Rozier,3.0
Miles Bridges,1.6
P.J. Washington,2.0
Cody Zeller,3.6
Malik Monk,0.7
Bismack Biyombo,2.4
Cody Martin,1.0
Marvin Williams,1.5
Dwayne Bacon,-0.8
Nicolas Batum,0.6
Willy Hernangomez,0.8
Caleb Martin,0.5
Jalen McDaniels,0.5
Michael Kidd-Gilchrist,-0.1
Joe Chealey,-0.1
Bam Adebayo,8.5
Duncan Robinson,5.3
Kendrick Nunn,2.0
Jimmy Butler,9.0
Goran Dragic,3.5
Tyler Herro,1.6
Derrick Jones,4.4
Kelly Olynyk,3.7
Meyers Leonard,2.1
Jae Crowder,1.9
Andre Iguodala,0.6
Justise Winslow,0.0
Chris Silva,1.3
James Johnson,0.4
Solomon Hill,0.1
Gabe Vincent,-0.2
Udonis Haslem,0.0
Dion Waiters,0.0
KZ Okpala,0.1
Daryl Macon,0.0
Kyle Alexander,0.0
Evan Fournier,4.6
Aaron Gordon,3.7
Nikola Vucevic,6.4
Markelle Fultz,2.7
Terrence Ross,3.0
D.J. Augustin,2.9
Jonathan Isaac,2.5
Wesley Iwundu,1.7
Khem Birch,2.2
Mohamed Bamba,2.5
Michael Carter-Williams,1.9
James Ennis,0.7
Al-Farouq Aminu,0.1
Gary Clark,0.6
Melvin Frazier,0.2
B.J. Johnson,-0.1
Amile Jefferson,0.0
Vic Law,-0.1
Josh Magette,-0.1
Bradley Beal,5.1
Ish Smith,1.9
Troy Brown,2.4
Davis Bertans,3.5
Rui Hachimura,1.8
Isaac Bonga,1.8
Thomas Bryant,3.9
Isaiah Thomas,0.0
Moritz Wagner,1.7
Ian Mahinmi,1.4
Jordan McRae,0.7
Jerome Robinson,0.2
Shabazz Napier,0.4
Anzejs Pasecņiks,0.5
Gary Payton,0.5
Admiral Schofield,0.1
Garrison Mathews,0.6
Johnathan Williams,0.4
C.J. Miles,0.1
Chris Chiozza,0.0
Jerian Grant,0.0
Justin Robinson,0.0
Jarrod Uthoff,0.1
