Name,WS
Dorian Finney-Smith,4.9
Tim Hardaway,4.4
Luka Doncic,8.8
Maxi Kleber,4.8
Kristaps Porzingis,5.2
Seth Curry,4.3
Delon Wright,4.4
Dwight Powell,3.6
Justin Jackson,1.2
Jalen Brunson,2.1
J.J. Barea,0.7
Boban Marjanovic,1.8
Courtney Lee,0.7
Trey Burke,0.5
Ryan Broekhoff,0.4
Willie Cauley-Stein,0.7
Michael Kidd-Gilchrist,-0.1
Antonius Cleveland,-0.1
Josh Reaves,0.0
James Harden,13.1
P.J. Tucker,4.0
Russell Westbrook,4.2
Danuel House,3.6
Ben McLemore,3.3
Austin Rivers,2.4
Clint Capela,4.9
Eric Gordon,0.5
Robert Covington,1.4
Thabo Sefolosha,0.7
Jeff Green,1.5
Chris Clemons,0.4
Isaiah Hartenstein,1.1
Tyson Chandler,0.6
Gary Clark,0.5
DeMarre Carroll,0.4
Michael Frazier,-0.2
Bruno Caboclo,0.2
Luc Mbah a Moute,0.0
Ryan Anderson,0.0
William Howard,-0.1
Dillon Brooks,1.2
Ja Morant,3.8
Jonas Valanciunas,7.0
Jaren Jackson,3.5
Kyle Anderson,2.5
Jae Crowder,1.9
Brandon Clarke,5.0
Tyus Jones,3.0
De'Anthony Melton,1.7
Solomon Hill,1.4
Grayson Allen,1.2
Marko Guduric,0.1
Josh Jackson,0.5
Gorgui Dieng,0.9
Anthony Tolliver,0.3
Bruno Caboclo,0.2
John Konchar,0.7
Yuta Watanabe,0.1
Jordan Bell,0.0
Jarrod Uthoff,0.0
Dusty Hannahs,0.0
Jrue Holiday,3.9
Brandon Ingram,5.1
Lonzo Ball,2.4
Josh Hart,3.1
J.J. Redick,4.1
Derrick Favors,4.2
Jaxson Hayes,3.9
Nicolo Melli,1.8
E'Twaun Moore,0.9
Kenrich Williams,0.9
Frank Jackson,0.2
Zion Williamson,2.0
Nickeil Alexander-Walker,-0.2
Jahlil Okafor,1.3
Zylan Cheatham,0.0
Sindarius Thornwell,0.1
Josh Gray,-0.1
DeMar DeRozan,7.3
LaMarcus Aldridge,4.5
Dejounte Murray,2.6
Derrick White,4.2
Bryn Forbes,1.5
Patty Mills,2.8
Rudy Gay,2.1
Trey Lyles,2.2
Jakob Poeltl,4.0
Lonnie Walker,0.3
Marco Belinelli,0.8
Keldon Johnson,1.1
Drew Eubanks,0.8
DeMarre Carroll,-0.1
Chimezie Metu,0.3
Quinndary Weatherspoon,-0.1
Luka Samanic,0.0
Tyler Zeller,0.0
