Name,TRB,AST,STL,BLK,PTS
Rudy Gobert,13.5,1.5,0.8,2.0,15.1
Donovan Mitchell,4.4,4.3,1.0,0.2,24.0
Bojan Bogdanovic,4.1,2.1,0.5,0.1,20.2
Joe Ingles,3.9,5.2,0.9,0.2,9.8
Mike Conley,3.2,4.4,0.8,0.1,14.4
Royce O'Neale,5.5,2.5,0.8,0.5,6.3
Jordan Clarkson,2.8,1.6,0.7,0.2,15.6
Jeff Green,2.7,0.7,0.4,0.3,7.8
Emmanuel Mudiay,2.3,2.1,0.4,0.2,7.3
Georges Niang,1.9,0.7,0.3,0.1,5.9
Tony Bradley,4.6,0.4,0.2,0.6,4.9
Justin Wright-Foreman,1.3,1.8,0.5,0.0,4.8
Miye Oni,1.7,0.4,0.4,0.2,3.5
Ed Davis,3.8,0.4,0.4,0.3,1.8
Jarrell Brantley,2.2,1.2,0.3,0.6,2.7
Rayjon Tucker,1.0,0.3,0.1,0.1,3.1
Dante Exum,1.1,0.6,0.1,0.2,2.2
Juwan Morgan,1.4,0.3,0.0,0.1,1.7
Nigel Williams-Goss,0.6,0.6,0.3,0.1,1.4
Stanton Kidd,0.8,0.3,0.0,0.0,0.0
