Name,TRB,AST,STL,BLK,PTS
Bradley Beal,4.2,6.1,1.2,0.4,30.5
Rui Hachimura,6.1,1.8,0.8,0.2,13.5
Davis Bertans,4.5,1.7,0.7,0.6,15.4
Ish Smith,3.2,4.9,0.9,0.4,10.9
Troy Brown,5.6,2.6,1.2,0.1,10.4
Thomas Bryant,7.2,1.8,0.5,1.1,13.2
Shabazz Napier,2.4,3.8,1.5,0.2,11.6
Jerome Robinson,3.3,2.0,0.7,0.4,9.4
Isaiah Thomas,1.7,3.7,0.3,0.2,12.2
Jordan McRae,3.6,2.8,0.7,0.5,12.8
Ian Mahinmi,5.7,1.3,0.8,1.2,7.4
Isaac Bonga,3.4,1.2,0.7,0.3,5.0
Moritz Wagner,4.9,1.2,0.6,0.4,8.7
Anzejs Pasecņiks,4.0,0.7,0.3,0.4,5.8
C.J. Miles,1.2,1.2,1.0,0.4,6.4
Gary Payton,2.8,1.7,1.1,0.2,3.9
Jerian Grant,1.0,1.5,0.2,0.2,4.5
Jarrod Uthoff,1.7,0.0,0.0,0.0,5.0
Garrison Mathews,1.3,0.6,0.4,0.1,5.4
Chris Chiozza,1.5,2.8,1.0,0.2,2.7
Johnathan Williams,4.3,0.5,0.1,0.5,3.0
Admiral Schofield,1.4,0.5,0.2,0.1,3.0
Justin Robinson,0.6,0.8,0.0,0.1,1.4
